Número de Pregunta,Tópico,Enunciado de la Pregunta,Alternativa A,Alternativa B,Alternativa C,Alternativa D,Respuesta Correcta,Justificación Técnica
120,Tópico 5: Sensores de Temperatura,¿Cuál es el comportamiento de un sensor RTD Pt100 si sufre una rotura interna completa de su filamento conductor de platino mientras el lazo analógico está en plena operación de planta?,"Su resistencia eléctrica se eleva hacia un valor teóricamente infinito (circuito abierto), lo que el transmisor o PLC interpreta como una temperatura extremadamente alta en su escala de seguridad.",Su voltaje Seebeck cae a cero milivoltios fijos provocando una alarma por congelamiento en la interfaz gráfica del software SCADA.,La señal analógica de corriente del lazo se estabiliza de forma permanente e invariable en 4.000 mA debido al cero vivo.,El sensor permuta mecánicamente sus terminales internos para activar de forma local una alarma digital On/Off por contacto seco.,A,"Al romperse el conductor de platino de una RTD, la resistencia medida pasa a ser infinita (circuito abierto). La gran mayoría de los transmisores y módulos de PLC detectan este aumento de resistencia masivo y disparan sus lecturas al máximo del rango (o activan la lógica de falla por burnout) para alertar al sistema de control."
121,Tópico 5: Sensores de Temperatura,"¿Qué ventaja conceptual y económica ofrece instalar un ""Transmisor de Temperatura de Cabezal"" montado directamente dentro de la caja de conexiones de una RTD o Termopar en el campo?","Convierte la señal débil original (ohmios o milivoltios) localmente en una señal estandarizada de 4-20 mA, eliminando la necesidad de usar costosos cables de compensación o sufrir pérdidas de señal por distancias largas.",Transforma de forma directa las variaciones térmicas de la planta en variables neumáticas proporcionales de 3 a 15 psi.,Permite al operario modificar de forma mecánica el Set Point del lazo cerrado sin ingresar al entorno lógico del PLC central.,Sincroniza la frecuencia de muestreo del transductor digital eliminando de forma física el fenómeno del aliasing en la red.,A,"Al colocar un transmisor tipo ""disco"" en el propio cabezal del sensor, las señales propensas a ruidos y caídas de tensión (como los mV del termopar o los Ω de la RTD) se convierten de inmediato a un lazo robusto de corriente de 4-20 mA. Esto permite llevar la información al PLC usando cableado de cobre industrial estándar sin pérdida de precisión a lo largo de cientos de metros."
122,Tópico 6: Reconocimiento de Magnitudes,"¿Cómo se define conceptualmente la ""Presión Hidrostática"" en un tanque de almacenamiento industrial?","Es la fuerza por unidad de área que ejerce un líquido en reposo sobre las paredes y el fondo del contenedor, directamente proporcional a su altura y densidad.",Es el caudal volumétrico neto que ingresa por las cañerías superiores midiendo la velocidad molecular del fluido.,Es la energía térmica acumulada en el centro de masa de una sustancia química expresada en la escala Kelvin.,Es un cambio discreto de tipo On/Off que activa mecánicamente las alarmas de seguridad críticas en un DCS.,A,"La presión hidrostática depende exclusivamente de la altura del nivel del líquido, la densidad del fluido y la gravedad (P = \rho \cdot g \cdot h), utilizándose comúnmente para inferir el nivel de un tanque."
123,Tópico 6: Reconocimiento de Magnitudes,"En la medición de fluidos, ¿cuál es la diferencia conceptual fundamental entre el ""Caudal Volumétrico"" y el ""Caudal Másico""?","El volumétrico mide el espacio ocupado por el fluido por unidad de tiempo (m³/h), mientras que el másico mide la cantidad de materia real transportada (kg/h).",El caudal másico trabaja exclusivamente bajo presiones superiores a 60 bar y el volumétrico opera en condiciones de vacío absoluto.,El volumétrico se transmite mediante señales neumáticas de 3-15 psi y el másico utiliza pulsos digitales binarios.,Ambos conceptos son sinónimos absolutos bajo la norma ISA 5.1 y miden exactamente la agitación térmica molecular.,A,"El caudal volumétrico (Q) se enfoca en el volumen del fluido que circula, mientras que el caudal másico (W) mide la masa, siendo este último independiente de las variaciones de temperatura y presión que alteran la densidad del fluido."
124,Tópico 6: Reconocimiento de Magnitudes,"¿Qué describe físicamente la magnitud de la ""Viscosidad"" en un fluido de proceso y cómo impacta en la instrumentación de caudal?","Es la resistencia interna de un fluido a fluir o deformarse ante esfuerzos cortantes, lo que altera el perfil de velocidad y la calibración del sensor.",Es el porcentaje total de sólidos disueltos que activan mecánicamente las compuertas lógicas de seguridad en el PLC.,Es el diferencial de voltaje analógico que un termopar genera localmente en campo bajo el efecto Seebeck.,Es la velocidad de evaporación criogénica que experimentan los hidrocarburos volátiles cuando igualan el cero absoluto Kelvin.,A,"La viscosidad mide la ""fricción interna"" de un fluido. Fluctuaciones severas en la viscosidad (por ejemplo, por cambios de temperatura) pueden alterar drásticamente el comportamiento de medidores de caudal como los de turbina o de presión diferencial."
125,Tópico 6: Reconocimiento de Magnitudes,"En el ámbito industrial, ¿qué relación física directa existe entre la magnitud de la Temperatura y la Presión de un gas confinado en un volumen constante?",Un incremento en la temperatura provoca un aumento proporcional en la presión debido al aumento de la energía cinética de las moléculas.,Un aumento térmico genera de forma automática una caída de la presión hasta estabilizarse en cero miliamperios.,La presión disminuye exponencialmente intentando forzar al transmisor a conmutar a una señal discreta On/Off.,Ambas magnitudes se independizan por completo anulando los principios de la escala absoluta Kelvin y el lazo de control.,A,"Según la ley de Gay-Lussac para gases ideales a volumen constante, la presión y la temperatura absoluta son directamente proporcionales; al calentar el gas, las moléculas chocan con mayor fuerza contra las paredes del contenedor."
126,Tópico 6: Reconocimiento de Magnitudes,"¿Cuál es la definición formal de la magnitud de ""Presión Diferencial"" y en qué aplicaciones funcionales de planta se aprovecha?","Es la diferencia de presión medida entre dos puntos distintos de un sistema, utilizada comúnmente para determinar caudales o niveles de tanques cerrados.",Es la presión absoluta calibrada que se genera de forma matemática descendente por debajo de la presión atmosférica local.,Es el umbral de voltaje eléctrico de 0 a 10 VCC que destruye el filamento metálico de una RTD Pt100 por cortocircuito.,Es una variable manipulada discontinua que regula de forma exclusiva la velocidad angular de un motor síncrono.,A,"La presión diferencial (\Delta P) es el núcleo operativo de muchos instrumentos; por ejemplo, al medir la caída de presión a través de una placa de orificio se puede deducir el caudal, o al medir entre la base y el tope de un tanque presurizado se obtiene el nivel."
127,Tópico 6: Reconocimiento de Magnitudes,¿Qué unidad de medida del Sistema Internacional (SI) corresponde legal y formalmente a la magnitud de la Presión?,"El Pascal (Pa), definido como la aplicación de una fuerza de un Newton sobre un área de un metro cuadrado.","El Bar, calibrado de forma exclusiva para simular el cero vivo en transmisiones analógicas de 4-20 mA.","El Kelvin (K), que establece el punto de neutralización térmica absoluta de los reactores químicos en planta.","El Litro por segundo (l/s), que cuantifica el desplazamiento continuo de masa en fluidos de alta viscosidad.",A,"El Pascal (1\ Pa = 1\ N/m²) es la unidad oficial del SI para la presión. En la industria también se usan mucho el bar, el psi o el kg/cm², pero el Pascal y sus múltiplos (kPa, MPa) son el estándar normativo."
128,Tópico 6: Reconocimiento de Magnitudes,"¿A qué magnitud de proceso corresponde la especificación técnica industrial de ""Metros Cúbicos por Hora"" ?",Caudal Volumétrico.,Presión Diferencial Absoluta.,Nivel Dinámico Continuo.,Masa Molecular Compacta.,A,"Los metros cúbicos (m³) denotan volumen y la hora (h) representa tiempo. Por lo tanto, m³/h es una unidad clásica empleada para especificar el caudal volumétrico en tuberías y procesos de transporte de fluidos."
129,Tópico 6: Reconocimiento de Magnitudes,"Si un sensor mide la deformación mecánica de un cuerpo debido a una fuerza aplicada por unidad de área en una tolva, ¿qué magnitud física está registrando?",Esfuerzo mecánico o Presión.,Temperatura Criogénica.,Velocidad Lineal por Pulsos.,Humedad Relativa Equivalente.,A,"La aplicación de una fuerza sobre un área determinada (F/A) define físicamente a la presión o esfuerzo mecánico, magnitud que se aprovecha en celdas de carga y sensores piezorresistivos para pesar tolvas o estanques."
130,Tópico 6: Reconocimiento de Magnitudes,"¿Qué unidad de medida se utiliza habitualmente en la industria para expresar el ""Caudal Másico"" en sistemas de transporte de sólidos o vapor de alta densidad?",Kilogramos por hora o Toneladas por hora ,Libras por pulgada cuadrada en la escala de cero vivo.,Metros por segundo acoplados a transductores ultrasónicos.,Milivoltios por grado Celsius bajo el efecto Seebeck.,A,"Dado que el caudal másico representa la cantidad de masa que fluye por unidad de tiempo, se expresa combinando unidades de masa (kilogramos, toneladas, libras) con unidades de tiempo (segundos, minutos, horas)."
131,Tópico 6: Reconocimiento de Magnitudes,"¿Cuál es la diferencia conceptual entre la ""Presión Manométrica"" y la ""Presión Absoluta"" en el monitoreo industrial?","La manométrica toma como punto de referencia cero a la presión atmosférica local, mientras que la absoluta toma como referencia el vacío perfecto.",La absoluta se mide únicamente utilizando la escala absoluta Kelvin y la manométrica se transmite por enlaces neumáticos de 3-15 psi.,La manométrica registra de forma exclusiva fluidos altamente viscosos y la absoluta trabaja solo con variables discretas On/Off.,Ambas presiones se diferencian por un factor de error aleatorio incontrolable inducido por los variadores de frecuencia de la planta.,A,"La presión absoluta es la suma de la presión manométrica más la presión atmosférica local (P_{abs} = P_{man} + P_{atm}). Cuando un manómetro común está abierto al aire, marca cero (presión manométrica), pero en realidad soporta la presión de la atmósfera."
132,Tópico 6: Reconocimiento de Magnitudes,"En la automatización de procesos hidráulicos, ¿qué describe físicamente la magnitud de ""Nivel"" en un estanque?",La altura que alcanza la superficie libre de un líquido o sólido granulado con respecto a una línea de referencia o base del contenedor.,El caudal totalizado que ha cruzado de forma ininterrumpida la válvula proporcional en un intervalo de 40 segundos.,La fuerza electromotriz en milivoltios generada por la fricción molecular del fluido contra las paredes del ducto.,La cantidad de perturbaciones térmicas que descalibran de forma sistemática el Set Point del controlador PID.,A,"El nivel mide la altura física del contenido de un tanque (líquido o sólido), permitiendo calcular el volumen remanente almacenado y evitar reboses o vaciados críticos."
133,Tópico 6: Reconocimiento de Magnitudes,"¿A qué magnitud física corresponde formalmente la unidad de medida industrial denominada ""PSI"" (Pounds per Square Inch)?","Presión, expresada en libras de fuerza por pulgada cuadrada en el sistema anglosajón.","Caudal, determinado por el volumen neto inyectado cada 45 segundos en la planta textil.","Temperatura, escalada matemáticamente a partir del punto de hielo fundente del agua pura.","Conductividad, calculada mediante la inyección de corrientes analógicas de 4 a 20 mA.",A,"La sigla psi representa la unidad de presión del sistema inglés (libras por pulgada cuadrada), ampliamente utilizada en refinerías, sistemas neumáticos y calderas comerciales."
134,Tópico 6: Reconocimiento de Magnitudes,"¿Qué principio físico define a la variable de proceso ""Densidad"" en el control de calidad de la industria alimentaria o petroquímica?",Es la cantidad de masa contenida en una unidad de volumen determinada de una sustancia específica.,Es la velocidad a la que un fluido se desplaza de manera lineal dentro de una cañería de acero inoxidable.,Es el retardo de propagación que sufre una señal neumática cuando viaja distancias largas en la planta.,Es la capacidad de un conductor de platino para modificar su resistencia óhmica base a los 0 °C.,A,"La densidad (\rho = m/V) es una magnitud intensiva clave; cambios en ella indican variaciones en la composición de mezclas químicas, concentración de azúcares o pureza de combustibles."
135,Tópico 6: Reconocimiento de Magnitudes,¿Qué magnitud se define operacionalmente como la cantidad de calor o energía cinética promedio que poseen las moléculas de un cuerpo en planta?,Temperatura.,Presión Diferencial.,Caudal Volumétrico.,Peso Neto de Tara.,A,La temperatura es el indicador macroscópico directo de la energía térmica interna (movimiento o agitación molecular) de una sustancia o medio de proceso en la industria.
136,Tópico 6: Reconocimiento de Magnitudes,"¿A qué magnitud industrial corresponde la unidad de medida denominada ""Litros por Minuto"" ?",Caudal Volumétrico.,Presión Manométrica.,Masa Compactada.,Frecuencia Angular.,A,"El litro por minuto (l/min) expresa el volumen de fluido (en litros) que pasa por una sección de tubería en un tiempo determinado (un minuto), siendo una unidad típica de caudal volumétrico."
137,Tópico 6: Reconocimiento de Magnitudes,"Cuando se habla del ""Peso"" de un producto en un sistema automatizado de empaque, ¿qué magnitud física real se está evaluando mediante las celdas de carga?","La fuerza gravitacional ejercida sobre la masa del objeto, expresada formalmente en Newtons o comercialmente en Kilogramos-fuerza.",La presión hidrostática que el aire circundante ejerce sobre las pantallas del software SCADA central.,La variación resistiva lineal de un termistor de óxido semiconductor expuesto al ambiente local.,El volumen neto de fluido compresible desalojado en una cañería a lo largo de un intervalo de 10 minutos.,A,"Aunque en el lenguaje comercial se habla de ""peso"" en kilogramos, físicamente las celdas de carga miden la fuerza ejercida por la masa bajo la aceleración de la gravedad (F = m \cdot g)."
138,Tópico 6: Reconocimiento de Magnitudes,"¿Cuál es la unidad de medida fundamental en la industria internacional para registrar la magnitud de la ""Temperatura Absoluta"" sin valores negativos?",El Kelvin (K).,El Grado Celsius (°C).,El Grado Fahrenheit (°F).,El Voltio Continuo (VCC).,A,"El Kelvin (K) es la unidad de temperatura del Sistema Internacional que inicia en el cero absoluto (ausencia total de movimiento molecular), por lo que carece de valores negativos y es la base de las leyes termodinámicas."
139,Tópico 6: Reconocimiento de Magnitudes,¿Qué magnitud física mide un instrumento industrial cuyo principio de operación se basa en emitir ondas acústicas de alta frecuencia para calcular el tiempo de retorno desde un espejo de líquido?,Nivel (mediante tecnología ultrasónica).,Temperatura (mediante el efecto Seebeck).,Presión Diferencial (mediante celdas piezorresistivas).,Caudal Másico (mediante el efecto de Coriolis).,A,Los sensores ultrasónicos de nivel calculan la distancia midiendo el tiempo de vuelo que tarda un pulso de sonido en viajar desde el sensor hasta reflejarse en la superficie de la sustancia (líquido o sólido) y regresar.
140,Tópico 6: Reconocimiento de Magnitudes,"¿A qué variable de proceso corresponde la especificación de ""Milímetros de Columna de Agua""?",Presión (generalmente rangos bajos o presiones diferenciales en ductos de ventilación).,Caudal Volumétrico (en líneas de dosificación farmacéutica de alta velocidad).,Temperatura Absoluta (medida en los bornes de compensación de un termopar).,Masa Neta de almacenamiento granulado en silos criogénicos de campo.,A,"Los milímetros de columna de agua (mmH_2O) son una unidad tradicional de presión que equivale a la presión hidrostática ejercida por una columna de agua pura de un milímetro de altura, muy usada para tiro de chimeneas o caídas de presión en filtros de aire."
141,Tópico 6: Reconocimiento de Magnitudes,¿Qué magnitud física describe la cantidad de vapor de agua contenida en una mezcla gaseosa dentro de una cámara de secado industrial?,Humedad (Absoluta o Relativa).,Presión Vaporizada Hidrostática.,Viscosidad Cinemática Dinámica.,Temperatura de Bulbo Seco Kelvin.,A,"La humedad es la magnitud que cuantifica la presencia de agua en estado gaseoso dentro de un gas de proceso, crítica para sectores como el papelero, textil, alimentario y de climatización (HVAC)."
142,Tópico 6: Reconocimiento de Magnitudes,"¿Qué unidad del sistema anglosajón se emplea habitualmente en la industria petrolera para expresar el ""Caudal Volumétrico"" diario de extracción?",Barriles por día (BPD).,Libras por hora (lb/h).,Galones por segundo (GPS).,Pascales por minuto (Pa/min).,A,"En el sector del petróleo y gas (O&G), el barril por día (BPD o bbl/d) es la unidad macroscópica estandarizada para cuantificar la producción o refinamiento de crudo."
143,Tópico 6: Reconocimiento de Magnitudes,"Si un instrumento industrial registra variaciones en la magnitud de ""Frecuencia"" expresada en Hertz (Hz) proveniente de un eje giratorio, ¿qué variable mecánica indirecta está determinando?",Velocidad de rotación o Velocidad angular (RPM).,Fuerza de torsión axial o Torque hidrostático.,Caudal másico por efecto de Coriolis compacto.,Presión diferencial de película delgada.,A,"Contar la frecuencia de pulsos eléctricos o magnéticos generados por revolución permite calcular de forma directa la velocidad angular del eje, expresada comúnmente en Revoluciones por Minuto (RPM)."
144,Tópico 6: Reconocimiento de Magnitudes,¿Cuál es la unidad de medida industrial que representa el volumen de un fluido en el sistema inglés equivalente a 3.785 litros?,El Galón (Gal).,El Barril (bbl).,El Pie cúbico (ft³).,La Onza líquida (fl\ oz).,A,"El galón estadounidense (gal) es una unidad de volumen muy común en instrumentación industrial que equivale exactamente a 3.78541 litros, muy empleada en medidores de flujo de procedencia americana."
145,Tópico 6: Reconocimiento de Magnitudes,¿Qué magnitud física describe la cantidad de energía por unidad de tiempo transferida a través de una línea de alimentación eléctrica para operar las bombas de planta?,Potencia Eléctrica (expresada en Watts o Kilowatts).,Corriente de Lazo (expresada en miliamperios de cero vivo).,Tensión de Aislamiento (expresada en Voltios eficaces senoidales).,Frecuencia de Red (expresada en Hertz digitales binarios).,A,"La potencia eléctrica (P = V \cdot I en sistemas de CC) mide el ritmo de consumo de energía de las maquinarias y actuadores por unidad de tiempo, expresada en Watts (W), Kilowatts (kW) o HP."
146,Tópico 6: Reconocimiento de Magnitudes,"¿Qué magnitud física mide un instrumento de campo denominado ""Vórtice"" (Vortex) basándose en la frecuencia de desprendimiento de torbellinos detrás de un cuerpo rombo?",Caudal Volumétrico.,Nivel Hidrostático.,Presión Barométrica.,Temperatura Criogénica.,A,Los flujómetros Vortex aprovechan el principio de desprendimiento de vórtices de Von Kármán: la frecuencia con la que se generan los remolinos detrás de una obstrucción en la tubería es directamente proporcional a la velocidad del fluido (caudal volumétrico).
147,Tópico 6: Reconocimiento de Magnitudes,"¿A qué variable de proceso corresponde la unidad de medida industrial denominada ""Grados Fahrenheit"" (°F)?","Temperatura, utilizada principalmente en sistemas de control bajo normativas norteamericanas.","Presión, correspondiente a la resistencia óhmica de un conductor de platino.","Caudal, determinada por el volumen que cruza un orificio cada 30 segundos.","Nivel, asociada al porcentaje de escala útil de un transmisor ultrasónico.",A,El grado Fahrenheit (°F) es una escala de temperatura no métrica ampliamente difundida en equipos de origen estadounidense e industrias específicas de refinación y procesos térmicos.
148,Tópico 6: Reconocimiento de Magnitudes,¿Qué tipo de magnitud de proceso se monitorea mediante electrodos sumergidos que miden la capacidad de una solución acuosa para conducir corriente eléctrica?,Conductividad Eléctrica (asociada a la concentración de iones o pureza del agua).,Presión Hidrostática Variable.,Caudal Másico por Inducción.,Humedad Relativa Absoluta.,A,"La conductividad mide la facilidad de un fluido para transportar corriente, reflejando directamente la presencia y concentración de sales o minerales disueltos, vital para plantas de tratamiento de aguas y calderas."
149,Tópico 6: Reconocimiento de Magnitudes,"¿Qué magnitud física determina un sensor de ""Proximidad"" industrial instalado sobre una cinta transportadora automatizada?",La presencia o distancia física de un objeto dentro de una zona de detección espacial delimitada.,El caudal totalizado de masa sólida depositada a lo largo de un turno operativo.,La agitación térmica molecular expresada a partir del cero absoluto Kelvin.,El gradiente de presión diferencial generado por la fricción mecánica de los rodillos.,A,"Los sensores de proximidad (inductivos, capacitivos, ópticos) determinan de manera digital (On/Off) o analógica continua si un objeto físico ha entrado o no en su rango de acción sin contacto mecánico."
150,Tópico 6: Reconocimiento de Magnitudes,"¿A qué magnitud de proceso corresponde la unidad de medida de ""Pies Cúbicos Estándar por Minuto"" (SCFM)?","Caudal Volumétrico de gases, corregido a condiciones estandarizadas de presión y temperatura.",Presión Diferencial Neumática de baja impedancia y cero vivo redundante.,Nivel Dinámico en silos verticales expuestos a condiciones criogénicas de campo.,Masa Compactada por unidad de área bajo fuerzas gravitacionales variables.,A,"La unidad SCFM (Standard\ Cubic\ Feet\ per\ Minute) mide el flujo de gases referenciado a condiciones estándar de laboratorio, eliminando los errores volumétricos que causan los cambios de temperatura y presión en los gases."
151,Tópico 6: Reconocimiento de Magnitudes,"Si un instrumento industrial mide la magnitud de la ""Fuerza"" expresada en Newtons (N) aplicada sobre un vástago de una válvula actuada, ¿qué parámetro está monitoreando directamente?",El empuje mecánico o carga lineal generado por el actuador para vencer la resistencia del fluido.,El caudal volumétrico neto que escapa por los sellos de empaquetadura de la cañería.,La temperatura de unión fría requerida para calibrar el algoritmo PID del PLC.,La densidad química absoluta del fluido compresible confinado en el lazo cerrado.,A,"El monitoreo de la fuerza o empuje ejercido por el actuador neumático o eléctrico sirve para verificar el correcto sellado de la válvula, diagnosticar fricciones excesivas o atascos en el vástago."
152,Tópico 6: Reconocimiento de Magnitudes,"¿A qué magnitud física corresponde formalmente la unidad de medida industrial denominada ""Atmósfera"" (atm)?","Presión, equivalente aproximadamente a la presión ejercida por la atmósfera terrestre a nivel del mar.","Temperatura, escalada linealmente a partir del cero absoluto medido en Kelvin.","Caudal, definida como el espacio volumétrico desplazado cada 45 segundos en la planta.","Conductividad, medida a través de la inyección de lazos de corriente analógicos.",A,"La atmósfera (atm) es una unidad de presión convencional que equivale a 101325\ Pa (o unos 14.7\ psi), utilizada con frecuencia en descripciones de procesos de alta presión de gases."
153,Tópico 6: Reconocimiento de Magnitudes,¿Qué magnitud de proceso se determina midiendo la atenuación o absorción de un haz de luz que atraviesa un fluido cargado de partículas en suspensión?,"Turbidez (o claridad del fluido, asociada a la calidad en plantas de tratamiento).",Presión Manométrica Diferencial.,Viscosidad Cinemática Joule.,Caudal Volumétrico de Masa.,A,"La turbidez mide el nivel de opacidad o falta de transparencia de un líquido causada por residuos o sólidos suspendidos, evaluándose mediante principios ópticos (nefelometría) en procesos de potabilización o alimenticios."
154,Tópico 6: Reconocimiento de Magnitudes,"¿Cuál es la unidad del Sistema Internacional empleada para cuantificar la magnitud de la ""Masa"" de una materia prima almacenada en un silo industrial?",El Kilogramo (kg).,El Newton (N).,El Litro (l).,El Pascal (Pa).,A,"El kilogramo (kg) es la unidad base del Sistema Internacional para medir la masa (cantidad de materia), parámetro crítico que se monitorea de forma continua mediante celdas de carga dispuestas bajo los apoyos del silo."
155,Tópico 6: Reconocimiento de Magnitudes,¿Qué magnitud de proceso describe el ángulo de apertura o la distancia de desplazamiento lineal de un elemento final de control como una compuerta Damper?,Posición (expresada comúnmente en porcentaje de apertura de 0% a 100%).,Velocidad Angular de rotación por pulsos digitales binarios.,Frecuencia de muestreo analógico de lazo abierto.,Fuerza gravitacional neta corregida por tara mecánica.,A,La posición del vástago o compuerta es una variable de estado del actuador fundamental que mide un posicionador para asegurar que el elemento final de control obedezca exactamente la orden del controlador.
156,Tópico 6: Reconocimiento de Magnitudes,"¿A qué variable física corresponde la unidad de medida industrial denominada ""Centipoise"" (cP)?",Viscosidad Dinámica del fluido de proceso.,Presión Absoluta por debajo de la atmósfera local.,Caudal Másico corregido por el efecto Seebeck.,Temperatura de ebullición escalada en Kelvin.,A,"El centipoise (cP) es la unidad submúltiplo del Poise en el sistema cegesimal, aceptada ampliamente en la industria para catalogar la viscosidad dinámica de líquidos (ej. aceites, polímeros, jarabes)."
157,Tópico 6: Reconocimiento de Magnitudes,¿Qué magnitud se define operacionalmente como la relación matemática entre la cantidad de sustancia química disuelta y el volumen total de la solución?,"Concentración (expresada en porcentaje, partes por millón o molaridad).",Densidad Relativa Hidrostática de campo.,Conductividad Térmica por efecto Joule.,Caudal Volumétrico de tipo lineal discontinuo.,A,"La concentración determina la pureza o dosificación exacta de componentes químicos dentro de un líquido, siendo medida mediante sensores de pH, conductividad, refractómetros o analizadores en línea."
158,Tópico 6: Reconocimiento de Magnitudes,"¿A qué magnitud industrial corresponde la unidad de medida denominada ""Metros por Segundo"" (m/s) en el contexto de la instrumentación de flujo?",Velocidad Lineal del fluido dentro del conducto (utilizada para calcular el caudal junto al área).,Presión Diferencial generada a través de una placa de orificio calibrada.,Temperatura de propagación de un termopar de metales nobles en planta.,Nivel Absoluto alcanzado por la superficie de un sólido granulado.,A,"La velocidad lineal (v) expresada en m/s mide la rapidez con la que viaja el fluido. Multiplicando esta velocidad por el área transversal de la cañería (A), los flujómetros ultrasónicos o electromagnéticos deducen el caudal volumétrico (Q = A \cdot v)."
159,Tópico 6: Reconocimiento de Magnitudes,"Si un sensor industrial mide el ""pH"" de una solución en un proceso de neutralización química, ¿qué magnitud analítica específica está cuantificando?","La actividad o concentración de iones de hidrógeno, indicando el grado de acidez o alcalinidad de la sustancia.",El caudal volumétrico neto que inyecta la bomba dosificadora cada 30 segundos.,La presión de vapor confinada que satura los canales analógicos del PLC central.,La conductividad eléctrica total medida a partir del cero absoluto Kelvin.,A,"El pH es una magnitud química adimensional exponencial que va de 0 a 14. Mide la concentración de iones H^+, lo cual es crítico para evitar corrosiones, mantener reacciones biológicas o cumplir normativas ambientales."
160,Tópico 6: Reconocimiento de Magnitudes,"¿A qué magnitud de proceso corresponde la especificación técnica industrial de ""Líneas de Muestreo de Partes por Millón"" (ppm)?",Concentración de gases o contaminantes (rangos muy bajos o trazas de gas en aire).,Caudal Másico por efecto de Coriolis en condiciones criogénicas.,Presión Manométrica Diferencial en calderas de alta potencia.,Nivel Dinámico Continuo medido mediante visores mecánicos locales.,A,"Las partes por millón (ppm) son una unidad de medida de concentración que determina la cantidad de unidades de una sustancia que hay por cada millón de unidades del conjunto, ideal para la detección de fugas de gases tóxicos o explosivos."
161,Tópico 6: Reconocimiento de Magnitudes,"¿Qué magnitud física mide un instrumento basado en el principio de Faraday, donde un fluido conductor corta las líneas de un campo magnético inducido eléctricamente?",Caudal Volumétrico (mediante un flujómetro electromagnético).,Presión Absoluta (mediante un sensor piezorresistivo de película delgada).,Temperatura Local (mediante la unión de metales heterogéneos Seebeck).,Nivel Estático (mediante un interruptor digital de flotador mecánico).,A,"La ley de inducción electromagnética de Faraday establece que un conductor (el fluido con conductividad mínima) que se mueve a través de un campo magnético genera un voltaje proporcional a su velocidad lineal, principio con el cual opera el flujómetro electromagnético para calcular el caudal."
162,Tópico 5: Sensores de Procesos,¿Cuál es la diferencia conceptual operativa básica entre un sensor inductivo y un sensor capacitivo en la industria?,"El inductivo detecta exclusivamente objetos metálicos mediante campos magnéticos, mientras que el capacitivo puede detectar tanto metálicos como no metálicos evaluando cambios en la permitividad dieléctrica.",El capacitivo opera únicamente bajo el principio Seebeck de milivoltios y el inductivo trabaja mediante enlaces neumáticos de 3-15 psi.,El inductivo requiere que el objeto esté en contacto físico directo y el capacitivo trabaja a distancias espaciales superiores a 5 metros.,Ambos sensores son idénticos y se limitan exclusivamente al monitoreo de temperaturas extremas en la escala absoluta Kelvin.,A,"Los sensores de proximidad inductivos basan su principio en las pérdidas por corrientes de Foucault sobre blancos ferrosos o metálicos. Los capacitivos reaccionan ante cualquier material que altere la capacitancia del circuito sensor, como plásticos, líquidos o cartón."
163,Tópico 5: Sensores de Procesos,"¿Qué describe conceptualmente el ""Tiempo muerto"" o tiempo de respuesta de un sensor analógico industrial?",Es el intervalo de tiempo que transcurre desde que ocurre un cambio instantáneo en la variable de proceso hasta que el sensor refleja dicho cambio en su salida.,Es el periodo de mantenimiento preventivo obligatorio donde el transmisor corta su lazo analógico y cae a cero miliamperios.,Es el error sistemático que se inyecta de forma matemática descendente cuando el PLC opera por encima de su frecuencia límite.,Es el tiempo que le toma a una celda de carga estabilizar el peso de una tolva aplicando la calibración de tara.,A,"El tiempo de respuesta define la velocidad dinámica del instrumento. Un tiempo de respuesta elevado significa un retraso en la retroalimentación, lo cual dificulta que el controlador responda rápidamente ante perturbaciones."
164,Tópico 5: Sensores de Procesos,"¿Cómo funciona un sensor óptico industrial del tipo ""Barrera"" (Through-Beam) en una línea de embotellado?",El emisor y el receptor están instalados en extremos opuestos orientados entre sí; el objeto es detectado cuando interrumpe físicamente el haz de luz continuo.,El emisor aloja un transductor ultrasónico que calcula el tiempo de vuelo de la luz reflejada directamente sobre la etiqueta física.,Utiliza un espejo reflector para desviar la señal hacia una tarjeta de entradas analógicas configurada en un estado On/Off con histéresis.,Opera midiendo la resistencia eléctrica de un conductor de platino que se enfría de forma proporcional a la velocidad de la cinta.,A,"Los sensores de barrera óptica colocan el emisor de un lado y el receptor del otro. Al pasar el producto, bloquea la trayectoria de la luz, lo que conmuta el estado digital del sensor de manera instantánea y altamente confiable."
165,Tópico 5: Sensores de Procesos,"¿Qué es conceptualmente la ""Histéresis"" en un interruptor digital de nivel o proximidad?","Es la diferencia de distancia o valor entre el punto de activación y el punto de desactivación del sensor, lo que evita conmutaciones repetitivas y falsas alarmas ante ruidos.",Es el porcentaje fijo de corriente de cero vivo que el transmisor absorbe del lazo de 4-20 mA para alimentar su circuito interno.,Es la descalibración irreversible del transductor provocada por ruidos electromagnéticos de un variador de frecuencia síncrono.,Es el balance de masa térmica que experimentan los sensores criogénicos cuando operan en las cercanías del cero absoluto Kelvin.,A,"Sin histéresis, si una variable u objeto oscila levemente sobre el punto de consigna, el sensor digital prendería y apagaría de forma violenta. La histéresis introduce un desfase que estabiliza la salida lógica del PLC."
